time_ms,bme_temp,dht_temp
2139786,29.06,29.20
2141812,29.05,29.20
2143838,29.06,29.20
2145864,29.06,29.20
2147890,29.06,29.20
2149916,29.06,29.20
2151942,29.06,29.20
2153968,29.06,29.20
2155994,29.06,29.20
2158021,29.06,29.20
2160047,29.05,29.20
2162073,29.06,29.20
2164099,29.06,29.20
2166125,29.06,29.20
2168151,29.05,29.20
2170177,29.06,29.20
2172203,29.06,29.20
2174229,29.06,29.30
2176256,29.07,29.30
2178282,29.08,29.30
2180308,29.09,29.30
2182334,29.09,29.30
2184361,29.09,29.30
2186387,29.08,29.30
2188413,29.09,29.30
2190440,29.09,29.30
2192466,29.10,29.30
2194492,29.10,29.30
2196518,29.10,29.30
2198545,29.10,29.30
2200571,29.10,29.30
2202597,29.10,29.30
2204623,29.09,29.30
2206649,29.10,29.30
2208676,29.10,29.30
2210702,29.09,29.30
2212728,29.10,29.30
2214754,29.11,29.30
2216780,29.11,29.30
2218806,29.11,29.30
2220832,29.11,29.30
2222858,29.11,29.30
2224885,29.10,29.30
2226911,29.11,29.30
2228937,29.12,29.30
2230964,29.11,29.30
2232990,29.12,29.30
2235016,29.12,29.30
2237042,29.13,29.30
2239068,29.13,29.40
2241094,29.15,29.40
2243120,29.15,29.40
2245146,29.16,29.40
2247172,29.15,29.40
2249198,29.16,29.40
2251224,29.16,29.40
2253250,29.17,29.40
2255276,29.16,29.40
2257302,29.17,29.40
2259328,29.16,29.40
2261354,29.18,29.40
2263381,29.17,29.40
2265407,29.16,29.40
2267433,29.16,29.40
2269459,29.16,29.40
2271485,29.16,29.40
2273511,29.16,29.40
2275537,29.16,29.40
2277563,29.16,29.40
2279589,29.16,29.40
2281615,29.16,29.40
2283641,29.15,29.40
2285667,29.16,29.40
2287693,29.16,29.40
2289719,29.16,29.40
2291745,29.16,29.40
2293771,29.16,29.40
2295797,29.17,29.40
2297823,29.16,29.40
2299849,29.16,29.40
2301875,29.16,29.40
2303901,29.15,29.40
2305927,29.16,29.40
2307953,29.15,29.40
2309979,29.16,29.40
2312005,29.15,29.40
2314032,29.16,29.40
2316058,29.16,29.40
2318084,29.16,29.40
2320110,29.17,29.40
2322136,29.17,29.40
2324162,29.18,29.40
2326188,29.18,29.40
2328214,29.18,29.40
2330240,29.18,29.40
2332266,29.18,29.40
2334292,29.19,29.40
2336318,29.21,29.40
2338344,29.23,29.40
2340370,29.24,29.40
2342396,29.25,29.60
2344422,29.26,29.60
2346448,29.27,29.60
2348475,29.28,29.60
2350501,29.29,29.60
2352527,29.31,29.60
2354553,29.32,29.60
2356580,29.32,29.60
2358606,29.32,29.60
2360632,29.32,29.60
2362658,29.31,29.60
2364684,29.31,29.60
2366710,29.32,29.60
2368736,29.33,29.60
2370762,29.34,29.60
2372788,29.34,29.70
2374814,29.33,29.70
2376841,29.34,29.70
2378867,29.35,29.70
2380893,29.34,29.70
2382919,29.34,29.70
2384945,29.34,29.70
2386971,29.34,29.70
2388998,29.33,29.70
2391024,29.33,29.70
2393050,29.34,29.70
2395076,29.36,29.70
2397102,29.36,29.70
2399128,29.36,29.70
2401154,29.37,29.70
2403180,29.37,29.70
2405206,29.37,29.70
2407233,29.37,29.70
2409259,29.38,29.70
2411285,29.38,29.70
2413311,29.38,29.70
2415337,29.38,29.70
2417363,29.37,29.70
2419389,29.40,29.70
2421415,29.41,29.70
2423441,29.40,29.70
2425467,29.41,29.70
2427493,29.40,29.70
2429520,29.42,29.70
2431546,29.42,29.80
2433572,29.43,29.70
2435598,29.43,29.80
2437624,29.43,29.80
2439650,29.44,29.80
2441676,29.59,29.80
2443703,29.52,29.80
2445728,29.51,29.80
2447755,29.68,29.80
2449781,29.60,29.80
2451807,29.58,29.80
2453833,29.57,29.80
2455859,29.55,29.80
2457885,29.57,29.80
2459911,29.55,29.80
2461937,29.53,29.80
2463963,29.53,29.80
2465989,29.52,29.80
2468015,29.52,29.80
2470041,29.54,29.80
2472067,29.54,29.80
2474093,29.52,29.80
2476119,29.52,29.80
2478145,29.50,29.80
2480171,29.50,29.80
2482197,29.49,29.80
2484223,29.50,29.80
2486249,29.51,29.80
2488275,29.49,29.80
2490301,29.49,29.80
2492327,29.49,29.80
2494354,29.51,29.80
2496380,29.51,29.80
2498406,29.54,29.80
2500432,29.53,29.80
2502458,29.54,29.80
2504484,29.53,29.80
2506510,29.52,29.80
2508536,29.53,29.80
2510562,29.51,29.80
2512588,29.57,29.80
2514614,29.57,29.80
2516640,29.57,29.80
2518666,29.60,29.80
2520692,29.63,29.80
2522718,29.61,29.80
2524744,29.59,29.80
2526770,29.58,29.80
